Competition,Matchday,Date,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Result,Weather,Temperature (°C)
Jupiler Pro League Champions' Play-Offs,4,Sun 16/05/21,6:30 PM,Club Brugge,(1.),Royal Antwerp,(4.),x,2:1,Rainy,13.4
Jupiler Pro League Champions' Play-Offs,5,Thu 20/05/21,9:00 PM,RSC Anderlecht,(3.),Club Brugge,(1.),x,3:3,Partly cloudy,13.9
Jupiler Pro League Champions' Play-Offs,6,Sun 23/05/21,6:30 PM,Club Brugge,(1.),Genk,(2.),500,1:2,Drizzle,13.5
Volkswagen Supercup,Final,Sat 17/07/21,8:45 PM,Club Brugge,,Genk,,10.000,3:2,Clear or mostly clear,18.5
Jupiler Pro League,1,Sun 25/07/21,4:00 PM,Club Brugge,(2.),KAS Eupen,(15.),9.500,2:2,Drizzle,20.5
Jupiler Pro League,2,Sun 01/08/21,1:30 PM,Union SG,(3.),Club Brugge,(7.),3.000,0:1,Rainy,18.2
Jupiler Pro League,3,Fri 06/08/21,8:45 PM,Club Brugge,(3.),Cercle Brugge,(6.),10.000,1:1,Partly cloudy,18.7
Jupiler Pro League,4,Sun 15/08/21,9:00 PM,Zulte Waregem,(9.),Club Brugge,(6.),4.580,0:4,Clear or mostly clear,17.5
Jupiler Pro League,5,Sun 22/08/21,6:30 PM,Club Brugge,(3.),Beerschot VA,(18.),24.000,3:2,Drizzle,16.9
Jupiler Pro League,6,Sun 29/08/21,1:30 PM,KAA Gent,(13.),Club Brugge,(1.),16.000,6:1,Partly cloudy,18.3
Jupiler Pro League,7,Fri 10/09/21,8:45 PM,Club Brugge,(3.),KV Oostende,(8.),26.000,3:0,Partly cloudy,18.7
UEFA Champions League,Group A,Wed 15/09/21,9:00 PM,Club Brugge,,PSG,,27.546,1:1,Clear or mostly clear,15.1
Jupiler Pro League,8,Sat 18/09/21,8:45 PM,R Charleroi SC,(4.),Club Brugge,(1.),8.554,0:1,Partly cloudy,17.2
Jupiler Pro League,9,Fri 24/09/21,8:45 PM,Club Brugge,(1.),OH Leuven,(17.),26.000,1:1,Clear or mostly clear,16.7
UEFA Champions League,Group A,Tue 28/09/21,9:00 PM,Leipzig,,Club Brugge,,23.500,1:2,None,None
Jupiler Pro League,10,Sun 03/10/21,1:30 PM,RSC Anderlecht,(6.),Club Brugge,(1.),19.500,1:1,Rainy,13.9
Jupiler Pro League,11,Fri 15/10/21,8:45 PM,Club Brugge,(4.),KV Kortrijk,(8.),26.352,2:0,Clear or mostly clear,10.4
UEFA Champions League,Group A,Tue 19/10/21,6:45 PM,Club Brugge,,Man City,,24.915,1:5,Clear or mostly clear,19.1
Jupiler Pro League,12,Sun 24/10/21,1:30 PM,Royal Antwerp,(4.),Club Brugge,(2.),15.734,1:1,Clear or mostly clear,11.6
Croky Cup,Sixth Round,Wed 27/10/21,8:45 PM,Club Brugge,,KMSK Deinze,,,3:0,Clear or mostly clear,12.8
Jupiler Pro League,13,Sat 30/10/21,8:45 PM,Sint-Truiden,(12.),Club Brugge,(2.),6.000,1:2,Drizzle,13.1
UEFA Champions League,Group A,Wed 03/11/21,9:00 PM,Man City,,Club Brugge,,50.228,4:1,None,None
Jupiler Pro League,14,Sun 07/11/21,1:30 PM,Club Brugge,(2.),Standard Liège,(12.),26.305,2:2,Partly cloudy,11.5
Jupiler Pro League,15,Fri 19/11/21,8:45 PM,KV Mechelen,(4.),Club Brugge,(3.),16.254,2:1,Partly cloudy,11.0
UEFA Champions League,Group A,Wed 24/11/21,9:00 PM,Club Brugge,,Leipzig,,24.072,0:5,Partly cloudy,5.2
Jupiler Pro League,16,Sun 28/11/21,1:30 PM,Genk,(8.),Club Brugge,(3.),18.173,2:3,Partly cloudy,3.4
Croky Cup,Round of 16,Wed 01/12/21,8:45 PM,Genk,,Club Brugge,,,6:8on pens,Partly cloudy,5.9
Jupiler Pro League,17,Sat 04/12/21,8:45 PM,Club Brugge,(3.),RFC Seraing,(14.),23.800,3:2,Clear or mostly clear,4.5
UEFA Champions League,Group A,Tue 07/12/21,6:45 PM,PSG,,Club Brugge,,47.492,4:1,None,None
Jupiler Pro League,18,Sun 12/12/21,9:00 PM,Club Brugge,(3.),Zulte Waregem,(16.),16.322,3:0,Drizzle,10.8
Jupiler Pro League,19,Wed 15/12/21,9:00 PM,OH Leuven,(14.),Club Brugge,(2.),8.643,1:4,Partly cloudy,8.6
Jupiler Pro League,20,Sun 19/12/21,1:30 PM,Club Brugge,(2.),RSC Anderlecht,(4.),28.000,2:2,Partly cloudy,8.3
Croky Cup,Quarter-Finals,Thu 23/12/21,9:00 PM,Club Brugge,,OH Leuven,,11.546,4:1,Drizzle,7.0
Jupiler Pro League,21,Sun 26/12/21,1:30 PM,Cercle Brugge,(14.),Club Brugge,(2.),x,2:0,Partly cloudy,4.8
Jupiler Pro League,22,Sat 15/01/22,8:45 PM,Club Brugge,(3.),Sint-Truiden,(14.),x,2:0,Partly cloudy,2.3
Jupiler Pro League,23,Sun 23/01/22,1:30 PM,Standard Liège,(12.),Club Brugge,(3.),x,2:2,Partly cloudy,5.0
Jupiler Pro League,24,Thu 27/01/22,8:45 PM,Club Brugge,(3.),Union SG,(1.),x,0:0,Partly cloudy,8.3
Jupiler Pro League,25,Sun 30/01/22,9:00 PM,KV Kortrijk,(9.),Club Brugge,(3.),6.214,0:1,None,None
Croky Cup,Semi-Finals 1st Leg,Wed 02/02/22,8:45 PM,KAA Gent,,Club Brugge,,10.000,0:1,Partly cloudy,9.0
Jupiler Pro League,26,Sun 06/02/22,1:30 PM,Club Brugge,(3.),KAA Gent,(6.),14.647,1:2,Rainy,9.0
Jupiler Pro League,27,Sun 13/02/22,6:30 PM,Club Brugge,(3.),R Charleroi SC,(5.),15.358,2:0,Partly cloudy,9.4
Jupiler Pro League,28,Sun 20/02/22,4:00 PM,KAS Eupen,(15.),Club Brugge,(3.),3.087,1:3,None,None
Jupiler Pro League,29,Sun 27/02/22,1:30 PM,Club Brugge,(2.),Royal Antwerp,(3.),23.157,4:1,Clear or mostly clear,6.7
Croky Cup,Semi-Finals 2nd Leg,Wed 02/03/22,8:45 PM,Club Brugge,,KAA Gent,,18.000,0:3,Partly cloudy,6.2
Jupiler Pro League,30,Sat 05/03/22,8:45 PM,RFC Seraing,(17.),Club Brugge,(2.),4.150,0:5,None,None
Jupiler Pro League,31,Sat 12/03/22,8:45 PM,KV Oostende,(14.),Club Brugge,(2.),6.402,1:3,None,None
Jupiler Pro League,32,Sun 20/03/22,1:30 PM,Club Brugge,(2.),Genk,(8.),21.496,3:1,Partly cloudy,7.3
Jupiler Pro League,33,Fri 01/04/22,8:45 PM,Beerschot VA,(18.),Club Brugge,(2.),x,1:3,None,None
Jupiler Pro League,34,Sun 10/04/22,6:30 PM,Club Brugge,(2.),KV Mechelen,(6.),21.802,2:0,Partly cloudy,11.7
Jupiler Pro League Champions' Play-Offs,1,Sun 24/04/22,1:30 PM,Club Brugge,(1.),Royal Antwerp,(4.),23.749,1:0,Clear or mostly clear,16.4
Jupiler Pro League Champions' Play-Offs,2,Sun 01/05/22,6:30 PM,RSC Anderlecht,(4.),Club Brugge,(2.),20.000,0:0,Partly cloudy,14.5
Jupiler Pro League Champions' Play-Offs,3,Sun 08/05/22,1:30 PM,Union SG,(1.),Club Brugge,(2.),8.700,0:2,Clear or mostly clear,17.8
Jupiler Pro League Champions' Play-Offs,4,Wed 11/05/22,8:30 PM,Club Brugge,(1.),Union SG,(2.),25.856,1:0,Clear or mostly clear,17.8
Jupiler Pro League Champions' Play-Offs,5,Sun 15/05/22,1:30 PM,Royal Antwerp,(4.),Club Brugge,(1.),15.126,1:3,Partly cloudy,25.6
Jupiler Pro League Champions' Play-Offs,6,Sun 22/05/22,6:30 PM,Club Brugge,(1.),RSC Anderlecht,(3.),28.000,1:1,Partly cloudy,21.6
Volkswagen Supercup,Final,Sun 17/07/22,6:00 PM,Club Brugge,,KAA Gent,,18.166,1:0,Partly cloudy,26.3
Jupiler Pro League,1,Sun 24/07/22,1:30 PM,Club Brugge,(4.),Genk,(1.),19.029,3:2,Clear or mostly clear,26.7
Jupiler Pro League,2,Sun 31/07/22,4:00 PM,KAS Eupen,(17.),Club Brugge,(7.),3.400,2:1,None,None
Jupiler Pro League,3,Fri 05/08/22,8:45 PM,Club Brugge,(8.),Zulte Waregem,(7.),21.000,1:1,Clear or mostly clear,17.5
Jupiler Pro League,4,Sun 14/08/22,6:30 PM,OH Leuven,(4.),Club Brugge,(8.),8.235,0:3,Partly cloudy,32.3
Jupiler Pro League,5,Sun 21/08/22,1:30 PM,Club Brugge,(5.),KV Kortrijk,(12.),20.555,2:1,Drizzle,20.8
