Competition,Matchday,Date,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Result,Weather,Temperature (°C)
Jupiler Pro League,2,Sat 15/08/20,7:00 PM,KAA Gent,(13.),KV Kortrijk,(18.),x,1:2,Drizzle,24.9
Jupiler Pro League,3,Sat 22/08/20,8:45 PM,Royal Antwerp,(13.),KAA Gent,(16.),x,1:0,Partly cloudy,19.9
Jupiler Pro League,4,Sun 30/08/20,8:45 PM,KAA Gent,(18.),KV Mechelen,(7.),x,1:0,Clear or mostly clear,15.9
Jupiler Pro League,5,Fri 11/09/20,8:45 PM,KAS Eupen,(16.),KAA Gent,(14.),1.038,2:1,None,None
UEFA Champions League Qualifying,Third Round,Tue 15/09/20,8:30 PM,KAA Gent,,Rapid Vienna,,x,2:1,Clear or mostly clear,25.1
Jupiler Pro League,6,Sat 19/09/20,6:30 PM,Mouscron,(18.),KAA Gent,(16.),900,0:1,None,None
UEFA Champions League Qualifying,Qualifying Round 1st leg,Wed 23/09/20,9:00 PM,KAA Gent,,Dynamo Kyiv,,x,1:2,Drizzle,18.1
Jupiler Pro League,7,Sat 26/09/20,8:45 PM,KAA Gent,(13.),OH Leuven,(11.),8.000,2:3,Partly cloudy,11.7
UEFA Champions League Qualifying,Qualifying Round 2nd leg,Tue 29/09/20,9:00 PM,Dynamo Kyiv,,KAA Gent,,x,3:0,None,None
Jupiler Pro League,8,Sun 04/10/20,4:00 PM,KAA Gent,(15.),Beerschot VA,(3.),7.995,5:1,Drizzle,14.3
Jupiler Pro League,9,Sat 17/10/20,4:15 PM,Cercle Brugge,(8.),KAA Gent,(12.),2.500,5:2,Partly cloudy,10.0
UEFA Europa League,group L,Thu 22/10/20,9:00 PM,Slovan Liberec,,KAA Gent,,x,1:0,None,None
Jupiler Pro League,10,Mon 26/10/20,8:45 PM,KAA Gent,(13.),Genk,(10.),x,1:2,Partly cloudy,10.5
UEFA Europa League,group L,Thu 29/10/20,6:55 PM,KAA Gent,,Hoffenheim,,x,1:4,Drizzle,11.5
Jupiler Pro League,11,Sun 01/11/20,8:45 PM,Waasland-Beveren,(13.),KAA Gent,(14.),x,1:4,None,None
UEFA Europa League,group L,Thu 05/11/20,9:00 PM,Red Star,,KAA Gent,,x,2:1,None,None
Jupiler Pro League,12,Sun 08/11/20,6:15 PM,KAA Gent,(12.),RSC Anderlecht,(6.),x,1:1,Partly cloudy,13.7
Jupiler Pro League,13,Sun 22/11/20,6:15 PM,R Charleroi SC,(2.),KAA Gent,(12.),x,0:1,Partly cloudy,7.9
UEFA Europa League,group L,Thu 26/11/20,6:55 PM,KAA Gent,,Red Star,,x,0:2,Clear or mostly clear,9.5
Jupiler Pro League,14,Sun 29/11/20,4:00 PM,KAA Gent,(10.),Zulte Waregem,(16.),x,0:3,Partly cloudy,3.4
UEFA Europa League,group L,Thu 03/12/20,6:55 PM,KAA Gent,,Slovan Liberec,,x,1:2,Drizzle,5.8
Jupiler Pro League,15,Sun 06/12/20,8:45 PM,KV Oostende,(13.),KAA Gent,(12.),x,2:1,None,None
UEFA Europa League,group L,Thu 10/12/20,9:00 PM,Hoffenheim,,KAA Gent,,x,4:1,None,None
Jupiler Pro League,16,Sun 13/12/20,6:15 PM,KAA Gent,(13.),Standard Liège,(6.),x,2:1,Partly cloudy,6.5
Jupiler Pro League,18,Wed 16/12/20,9:00 PM,KAA Gent,(10.),Waasland-Beveren,(15.),x,3:0,Partly cloudy,9.3
