Competition,Matchday,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Weather,Temperature (°C),Date,Weekday,Month,Year,Season,quarter,Stadium,Max Capacity,City,Province,Full Roof,PercentageAttendance,GDP_Real_lagQ,CPI_QoQ_Growth_%_lagQ,Employment_Rate_%_lagQ,Home Team Goals Scored,Away Team Goals Scored,Match Type,Home Team Outcome,Away Team Outcome,Day,Goals Scored in Last 5 Games,Goals Conceded in Last 5 Games,Number of Wins in Last 5 Games
Jupiler Pro League,4,20.0,KAA Gent,8,KV Oostende,6,17860,Clear or mostly clear,18.2,2019-08-18,Sunday,8,2019,2019/2020,3,Ghelamco Arena,20000.0,Ghent,VOV,1.0,0.893,102579.3,0.3594028383608849,65.6,2,0,Normal Time,Win,Loss,18,10.0,7.0,3.0
Jupiler Pro League,4,18.0,Royal Antwerp,4,Sint-Truiden,12,12828,Drizzle,18.6,2019-08-18,Sunday,8,2019,2019/2020,3,Bosuilstadion,16644.0,Antwerp,ANT,0.0,0.7707281903388609,102579.3,0.3594028383608849,65.6,2,0,Normal Time,Win,Loss,18,8.0,12.0,2.0
Jupiler Pro League,4,14.0,Standard Liège,5,Mouscron,3,19164,Rainy,17.9,2019-08-18,Sunday,8,2019,2019/2020,3,Stade Maurice Dufrasne,27670.0,Liège,LIE,0.0,0.6925912540657752,102579.3,0.3594028383608849,65.6,4,1,Normal Time,Win,Loss,18,8.0,7.0,1.0
Jupiler Pro League,4,20.0,Zulte Waregem,11,R Charleroi SC,7,6058,Clear or mostly clear,17.7,2019-08-19,Monday,8,2019,2019/2020,3,Regenboogstadion,12400.0,Waregem,WVL,0.0,0.4885483870967742,102579.3,0.3594028383608849,65.6,3,1,Normal Time,Win,Loss,19,13.0,11.0,3.0
Jupiler Pro League,5,20.0,Genk,8,RSC Anderlecht,13,22105,Partly cloudy,22.7,2019-08-23,Friday,8,2019,2019/2020,3,Cegeka Arena,23500.0,Genk,LIM,1.0,0.9406382978723404,102579.3,0.3594028383608849,65.6,1,0,Normal Time,Win,Loss,23,8.0,4.0,2.0
Jupiler Pro League,5,20.0,Cercle Brugge,16,Waasland-Beveren,15,4139,Partly cloudy,23.7,2019-08-24,Saturday,8,2019,2019/2020,3,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.14241965453169086,102579.3,0.3594028383608849,65.6,1,0,Normal Time,Win,Loss,24,5.0,18.0,0.0
Jupiler Pro League,5,20.0,Sint-Truiden,12,Zulte Waregem,10,4789,Clear or mostly clear,26.4,2019-08-24,Saturday,8,2019,2019/2020,3,Stayen,14600.0,Sint-Truiden,LIM,1.0,0.32801369863013696,102579.3,0.3594028383608849,65.6,0,0,Normal Time,Draw,Draw,24,7.0,8.0,1.0
Jupiler Pro League,5,18.0,Standard Liège,3,KV Kortrijk,6,26282,Clear or mostly clear,28.6,2019-08-25,Sunday,8,2019,2019/2020,3,Stade Maurice Dufrasne,27670.0,Liège,LIE,0.0,0.9498373689916878,102579.3,0.3594028383608849,65.6,2,1,Normal Time,Win,Loss,25,8.0,7.0,1.0
Jupiler Pro League,6,20.0,KV Mechelen,4,Mouscron,5,14847,Partly cloudy,20.3,2019-08-30,Friday,8,2019,2019/2020,3,AFAS Stadion,16500.0,Mechelen,ANT,0.0,0.8998181818181819,102579.3,0.3594028383608849,65.6,2,2,Normal Time,Draw,Draw,30,5.0,5.0,0.0
Jupiler Pro League,6,20.0,KAA Gent,8,Cercle Brugge,13,17525,Clear or mostly clear,17.1,2019-09-01,Sunday,9,2019,2019/2020,3,Ghelamco Arena,20000.0,Ghent,VOV,1.0,0.87625,102579.3,0.3594028383608849,65.6,3,2,Normal Time,Win,Loss,1,10.0,7.0,3.0
