Time,Ranking Home Team,Ranking Away Team,Attendance,Temperature (°C),Date,Month,Season,Stadium,Max Capacity,City,Province,Full Roof,PercentageAttendance,GDP_Real_lagQ,CPI_QoQ_Growth_%_lagQ,Employment_Rate_%_lagQ,Home Team Goals Scored,Away Team Goals Scored,Match Type,Home Team Outcome,Away Team Outcome,Day,Goals Scored in Last 5 Games,Goals Conceded in Last 5 Games,Number of Wins in Last 5 Games,Derby,Matchday_10,Matchday_11,Matchday_12,Matchday_13,Matchday_14,Matchday_15,Matchday_16,Matchday_17,Matchday_18,Matchday_19,Matchday_2,Matchday_20,Matchday_21,Matchday_22,Matchday_23,Matchday_24,Matchday_25,Matchday_26,Matchday_27,Matchday_28,Matchday_29,Matchday_3,Matchday_30,Matchday_31,Matchday_32,Matchday_33,Matchday_34,Matchday_4,Matchday_5,Matchday_6,Matchday_7,Matchday_8,Matchday_9,Matchday_Final,Matchday_final 2nd leg,Home Team_Club Brugge,Home Team_FCV Dender EH,Home Team_Genk,Home Team_KAA Gent,Home Team_KV Mechelen,Home Team_KVC Westerlo,Home Team_OH Leuven,Home Team_R Charleroi SC,Home Team_RSC Anderlecht,Home Team_Royal Antwerp,Home Team_Sint-Truiden,Home Team_Standard Liège,Home Team_Union SG,Home Team_Zulte Waregem,Away Team_Club Brugge,Away Team_FCV Dender EH,Away Team_Genk,Away Team_KAA Gent,Away Team_KV Mechelen,Away Team_KVC Westerlo,Away Team_OH Leuven,Away Team_R Charleroi SC,Away Team_RSC Anderlecht,Away Team_Royal Antwerp,Away Team_Sint-Truiden,Away Team_Standard Liège,Away Team_Union SG,Away Team_Unknown,Away Team_Zulte Waregem,Weekday_Monday,Weekday_Saturday,Weekday_Sunday,Weekday_Thursday,Weekday_Tuesday,Weekday_Wednesday,Opposing team Category_Bottom ranked,Opposing team Category_Medium ranked,Opposing team Category_Not ranked,Opposing team Category_Top ranked,Opposing team Category_Unknown,Home team Category_Bottom ranked,Home team Category_Medium ranked,Home team Category_Not ranked,Home team Category_Top ranked,Home team Category_Unknown,Game day_Weekday,Game day_Weekend,Time slot_Afternoon,Time slot_Evening,Time slot_Night,Weather GoodBad_Bad,Weather GoodBad_Good,Weather_Clear or mostly clear,Weather_Drizzle,Weather_Partly cloudy,Weather_Rainy,Weather_Snowy,match_id
20.0,1,13,12762.0,24.6,2019-08-04,8,2019/2020,Bosuilstadion,16644.0,Antwerp,ANT,0.0,0.7667627974044701,102579.3,0.3594028383608849,65.6,4,1,Normal Time,Win,Loss,4,7.0,6.0,1.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,11
20.0,11,4,19000.0,22.5,2019-08-09,8,2019/2020,Lotto Park,22500.0,Anderlecht (Brussels),BRU,1.0,0.8444444444444444,102579.3,0.3594028383608849,65.6,0,0,Normal Time,Draw,Draw,9,1.0,2.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,12
20.0,8,14,17820.0,22.2,2019-08-10,8,2019/2020,Cegeka Arena,23500.0,Genk,LIM,1.0,0.7582978723404256,102579.3,0.3594028383608849,65.6,0,2,Normal Time,Loss,Win,10,5.0,1.0,2.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,13
20.0,12,10,4032.0,20.2,2019-08-10,8,2019/2020,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.1387378707590668,102579.3,0.3594028383608849,65.6,1,3,Normal Time,Loss,Win,10,0.0,2.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,14
18.0,9,2,9868.0,19.3,2019-08-11,8,2019/2020,Stade du Pays de Charleroi,15000.0,Charleroi,WHT,0.0,0.6578666666666667,102579.3,0.3594028383608849,65.6,2,1,Normal Time,Win,Loss,11,1.0,1.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,15
14.0,15,3,10000.0,20.0,2019-08-11,8,2019/2020,Stayen,14600.0,Sint-Truiden,LIM,1.0,0.684931506849315,102579.3,0.3594028383608849,65.6,2,1,Normal Time,Win,Loss,11,0.0,1.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,16
20.0,1,15,27000.0,20.2,2019-08-16,8,2019/2020,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.9290482416901796,102579.3,0.3594028383608849,65.6,0,0,Normal Time,Draw,Draw,16,7.0,0.0,2.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,17
20.0,2,16,14513.0,19.0,2019-08-17,8,2019/2020,AFAS Stadion,16500.0,Mechelen,ANT,0.0,0.8795757575757576,102579.3,0.3594028383608849,65.6,3,1,Normal Time,Win,Loss,17,3.0,1.0,1.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,18
20.0,8,6,17860.0,18.2,2019-08-18,8,2019/2020,Ghelamco Arena,20000.0,Ghent,VOV,1.0,0.893,102579.3,0.3594028383608849,65.6,2,0,Normal Time,Win,Loss,18,15.0,4.0,3.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,19
18.0,4,12,12828.0,18.6,2019-08-18,8,2019/2020,Bosuilstadion,16644.0,Antwerp,ANT,0.0,0.7707281903388609,102579.3,0.3594028383608849,65.6,2,0,Normal Time,Win,Loss,18,5.0,1.0,2.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,20
14.0,5,3,19164.0,17.9,2019-08-18,8,2019/2020,Stade Maurice Dufrasne,27670.0,Liège,LIE,0.0,0.6925912540657752,102579.3,0.3594028383608849,65.6,4,1,Normal Time,Win,Loss,18,4.0,0.0,1.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,21
20.0,11,7,6058.0,17.7,2019-08-19,8,2019/2020,Regenboogstadion,12400.0,Waregem,WVL,0.0,0.4885483870967742,102579.3,0.3594028383608849,65.6,3,1,Normal Time,Win,Loss,19,0.0,2.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,22
20.0,8,13,22105.0,22.7,2019-08-23,8,2019/2020,Cegeka Arena,23500.0,Genk,LIM,1.0,0.9406382978723404,102579.3,0.3594028383608849,65.6,1,0,Normal Time,Win,Loss,23,5.0,3.0,2.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,23
20.0,16,15,4139.0,23.7,2019-08-24,8,2019/2020,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.1424196545316908,102579.3,0.3594028383608849,65.6,1,0,Normal Time,Win,Loss,24,1.0,5.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,24
20.0,12,10,4789.0,26.4,2019-08-24,8,2019/2020,Stayen,14600.0,Sint-Truiden,LIM,1.0,0.3280136986301369,102579.3,0.3594028383608849,65.6,0,0,Normal Time,Draw,Draw,24,2.0,2.0,1.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,25
18.0,3,6,26282.0,28.6,2019-08-25,8,2019/2020,Stade Maurice Dufrasne,27670.0,Liège,LIE,0.0,0.9498373689916878,102579.3,0.3594028383608849,65.6,2,1,Normal Time,Win,Loss,25,8.0,1.0,2.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,26
20.0,4,5,14847.0,20.3,2019-08-30,8,2019/2020,AFAS Stadion,16500.0,Mechelen,ANT,0.0,0.8998181818181819,102579.3,0.3594028383608849,65.6,2,2,Normal Time,Draw,Draw,30,6.0,2.0,2.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,27
